ID	Name	ParentID	AmazonCategoryId
837	Pest Control	424	553844
838	Patio Furniture & Accessories	424	553824
839	Outdoor Storage	424	13400641
840	Outdoor Heating	424	13638732011
841	Outdoor Décor	424	553788
842	Mowers & Outdoor Power Tools	424	551242
843	Grills & Outdoor Cooking	424	553760
844	Generators & Portable Power	424	552808
845	Gardening	424	3610851
846	Farm & Ranch	424	4619352011
847	Small Animals	425	2975520011
848	Reptiles & Amphibians	425	2975504011
849	Insects	425	2975497011
850	Horses	425	2975481011
851	Fish & Aquatic Pets	425	2975446011
852	Dogs	425	2975312011
853	Cats	425	2975241011
854	Birds	425	2975221011
855	Video	427	290542
856	Utilities	427	229672
857	Tax Preparation	427	229545
858	Programming & Web Development	427	5223262011
859	Photography	427	229621
860	Operating Systems	427	229653
861	Networking & Servers	427	229637
862	Music	427	497022
863	Mac Software	427	229643
864	Lifestyle & Hobbies	427	229624
865	Education & Reference	427	229563
866	Design & Illustration	427	229614
867	Children's Software	427	229548
868	Business & Office	427	229535
869	Antivirus & Security	427	229677
870	Accounting & Finance	427	5223260011
871	Sports & Fitness	428	10971181011
872	Outdoor Recreation	428	706814011
873	Fan Shop	428	3386071
874	Trophies	429	5395823011
875	Baseball Bases	429	5395827011
876	Bats	429	3311045011
877	Bobbleheads	429	3311046011
878	Books	429	3311047011
879	Clothing & Uniforms	429	7702506011
880	Coins	429	9481778011
881	Cut Signatures	429	5931158011
882	Diecast Cars	429	7702514011
883	Figurines	429	7702516011
884	Flags & Banners	429	3311048011
885	Gloves	429	3311051011
886	Golf Clubs	429	3311052011
887	Hats	429	3311053011
888	Balls	429	3311044011
889	Helmets	429	3311054011
890	Hockey Sticks & Blades	429	3311058011
891	Jerseys	429	3311061011
892	Lineup Cards	429	5395826011
893	Magazines	429	3311062011
894	Personal Checks	429	5395829011
895	Photographs	429	3311063011
896	Postcards & Index Cards	429	3311064011
897	Prints & Posters	429	3311067011
898	Publications & Media	429	7702507011
899	Shoes	429	3311068011
900	Stadium Components	429	5395825011
